Prod Desc,Item No.,Pcs,Est. MSRP,Cond.,Dept
"Keurig K-Compact Single Serve Coffee Maker",K35-BLK,6,99.99,Shelf Pulls,Kitchen
"Farberware 15-Piece Knife Block Set",5216484,10,39.99,Shelf Pulls,Kitchen
"Rubbermaid Brilliance 22-Pc Food Storage Set",2183396,12,59.99,Shelf Pulls,Kitchen
"Shark Navigator Lift-Away Upright Vacuum",NV352,4,199.99,Customer Returns,Home
"Beckham Hotel Collection Queen Pillows 2-Pack",BH-QP2,20,44.99,New,Bedding
"Utopia Bedding Comforter Set Queen Grey",UB-CSQ-G,15,49.99,New,Bedding
"Mainstays 5-Shelf Bookcase Espresso",MS98-5SB,7,64.00,Customer Returns,Furniture
"Better Homes 3-Piece Comforter Set Full/Queen",BH3P-FQ,9,69.99,Shelf Pulls,Bedding
"Pyrex 18-Piece Glass Storage Set",1136632,8,49.99,Shelf Pulls,Kitchen
"Honeywell HPA100 HEPA Air Purifier",HPA100,5,159.99,Customer Returns,Home
