Item Description,UPC,Qty,Unit Retail,Condition,Category
"Sony WH-CH720N Wireless Noise Canceling Headphones - Black",027242923423,12,149.99,Customer Returns,Electronics
"Samsung Galaxy Tab A9+ 11"" 64GB Wi-Fi Tablet",887276742083,8,219.99,Customer Returns,Electronics
"JBL Flip 6 Portable Bluetooth Speaker - Blue",050036389358,15,129.95,Customer Returns,Electronics
"Anker PowerCore 20000mAh Portable Charger",848061019018,30,49.99,Customer Returns,Electronics
"TP-Link AX1800 WiFi 6 Router (Archer AX21)",840030702273,10,79.99,Customer Returns,Electronics
"Logitech MX Master 3S Wireless Mouse",097855174819,18,99.99,Customer Returns,Electronics
"Fire TV Stick 4K streaming device",840080588582,40,49.99,Customer Returns,Electronics
"Ring Video Doorbell (2nd Gen) - Satin Nickel",840080561196,14,99.99,Customer Returns,Electronics
"Sandisk 128GB Ultra microSDXC Card 2-pack",619659196547,60,24.99,New,Electronics
"HP DeskJet 2855e All-in-One Printer",196337292215,9,84.99,Customer Returns,Electronics
"Govee RGBIC LED Strip Lights 32.8ft",810056360566,25,35.99,Customer Returns,Electronics
"Sony PlayStation DualSense Controller - White",711719558255,11,74.99,Customer Returns,Electronics
